episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count,released_datetime,release_year,release_month,release_day_of_week,release_quarter,publish_year,publish_month,publish_hour,publish_day_of_week,publish_time_category,runtime_minutes,runtime_category,description_length,description_word_count,title_length,title_word_count,lead_cast_count,supporting_cast_count,total_cast_count,has_jethalal,has_tapu,has_daya,has_taarak,has_bhide,has_champaklal,like_to_view_ratio,comment_to_view_ratio,comment_to_like_ratio,engagement_score,view_category
1010,Tapu Sena Firmly Decide To Collect Rs,"Principal informs the Children about Project Roshni in which all the Children will work together in a group and collect donations for those Children who cannot see the world and excited Tapu tells his Principal and Teacher that his group will collect the highest donations. Teacher informs them that the group who will collect the highest donations will get 10 marks from the school followed by a trophy too. Will Tapu Sena succeed in collecting Rs. 25,000 for Project Roshni?",18 mins,20-Nov-12,"Tapu, Tapu Sena","Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony PAL,2018-03-17 18:01:45+00:00,1960499,22972,410,2012-11-20,2012,11,Tuesday,4,2018.0,3.0,18.0,Saturday,Evening,18,Standard,476,80,37,7,2,4,6,False,True,False,False,False,False,0.011717419025758735,0.00020913032389696505,0.01784703782701432,7.114103545014026,Low
1011,Tapu Sena's Mind,"Tapu Sena informs all the members of Gokuldham society about Project Roshni and also collects donations from all the members. All the members of Gokuldham society appreciate Tapu Senas efforts as they all are working for a noble cause, Tapu Sena gets upset as instead of collecting Rs. 25,000 they have managed to collect only Rs. 1850. Tapu finds his loop holes and decides to find an alternate way to achieve their target.",20 mins,21-Nov-12,"Tapu, Tapu Sena","Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony PAL,2018-03-18 18:28:39+00:00,2281404,27217,404,2012-11-21,2012,11,Wednesday,4,2018.0,3.0,18.0,Sunday,Evening,20,Standard,424,73,16,3,2,8,10,False,True,False,False,False,False,0.011929929144540316,0.000177083858411812,0.014843118524505842,7.228791030088914,Low
1012,Tapu Sena Involve 2 Members In Their Secret Plan,"Inspired from Tapu, Baagha and Natu Kaka too decide to collect donations for a Gaushala project. Tapu sena firmly decide to keep their program a secret. Tapu sena involves Abdul and Baagha in their secret plan. Jethalal has given a task to Baagha and Baagha rushes to meet Tapu.",17 mins,22-Nov-12,"Tapu, Tapu Sena","Abdul, Gogi, Goli, Nattu, Pinku, Sonu",Gokuldham Society,Sony PAL,2018-03-18 18:32:49+00:00,4723456,52633,1159,2012-11-22,2012,11,Thursday,4,2018.0,3.0,18.0,Sunday,Evening,17,Standard,278,49,48,9,2,6,8,False,True,False,False,False,False,0.011142898093493812,0.000245371133896212,0.022019987080594293,6.783887309654772,Below_Avg
1013,Tapu Sena's Special Show Night In Gokuldham Society,"All the members of Gokuldham Society are wondering what is the show about and also question Bagha and Abdul about it, as they were taking care of the decorations. Bhide complains to Jethalal about Tapu's new act. Guests are arriving in the colony. The show is just about to begin.",19 mins,23-Nov-12,"Tapu, Tapu Sena","Abdul, Anjali, Bagha, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony PAL,2018-03-19 20:49:43+00:00,1085683,8671,87,2012-11-23,2012,11,Friday,4,2018.0,3.0,20.0,Monday,Evening,19,Standard,280,50,51,8,2,10,12,False,True,False,False,False,False,0.007986670154483257,8.013381425902933e-05,0.010032287822878228,4.824055618393565,Low
1014,Tapu Sena's Emotional Skit,"All the members of Gokuldham Society are eagerly waiting for Tapu Sena's surprise event which is just about to begin and the wait is finally over as Tapu Sena arrives with the team on the stage. Sodhi is essaying the role of a son, Sonu as a mother, and Goli as a father. Will Tapu Sena succeed in conveying their message? Will Tapu Sena manage to collect highest donations for project Roshni?",21 mins,26-Nov-12,"Tapu, Tapu Sena","Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony PAL,2018-03-19 20:06:19+00:00,4662283,48130,773,2012-11-26,2012,11,Monday,4,2018.0,3.0,20.0,Monday,Evening,21,Standard,393,72,26,4,2,8,10,False,True,False,False,False,False,0.010323266450520818,0.0001657985656815415,0.0160603353348154,6.260279296585106,Below_Avg
1015,Tapu Sena Collects A Whopping Amount For Their Project Roshni,"Tapu has given a unique task to Madhavi and Jethalal and all the members of Gokuldham society, who are watching the act with lots of interest. After the act, Gokuldham colony members praise Tapu Sena for performing such a brilliant yet emotional act. Tapu Sena observes a blind couple who were seeking help.",20 mins,27-Nov-12,"Tapu, Tapu Sena","Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony PAL,2018-03-20 19:48:29+00:00,2256675,26207,674,2012-11-27,2012,11,Tuesday,4,2018.0,3.0,19.0,Tuesday,Evening,20,Standard,307,53,61,10,2,8,10,False,True,False,False,False,False,0.011613098202843473,0.0002986693703482467,0.025717338217338216,7.087326669845383,Low
1016,Principal Takes A Drastic Step Against Tapu Sena,"Tapu takes his final call on the money that he had collected for Project Roshni but just when they were about to proceed towards their school, an accident occurs. In the school, Tapu Sena reveals the truth to their Principal and Teachers but Principal fumes in anger and urgently calls their Parents in the School. Will Gokuldham society believe in Tapu Sena? Has Tapu Sena committed a huge mistake.",20 mins,28-Nov-12,"Tapu, Tapu Sena","Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony PAL,2018-03-20 19:56:34+00:00,1981310,24418,704,2012-11-28,2012,11,Wednesday,4,2018.0,3.0,19.0,Tuesday,Evening,20,Standard,399,69,48,8,2,8,10,False,True,False,False,False,False,0.01232416314248495,0.0003553202904541488,0.028830009418895124,7.536626001672629,Low
1017,Jethalal Rages At Tapu,"Tapu requests Principal not to severely punish his friends as it was his call to give away the money to the blind couple. Bhide and other colony members inquire about the blind couple in the market but they fail to find them. Jethalal rages at Tapu. Will Tapu succeed in finding the blind couple? How will Tapu arrange Rs. 33,000 till evening?",16 mins,29-Nov-12,"Jethalal, Jetha, Tapu",,Gokuldham Society,Sony PAL,2018-03-21 16:57:50+00:00,14071810,112826,1642,2012-11-29,2012,11,Thursday,4,2018.0,3.0,16.0,Wednesday,Afternoon,16,Standard,343,62,22,4,3,0,3,True,True,False,False,False,False,0.008017873463479576,0.00011668718404475444,0.014553254096980333,4.8573989517056475,Above_Avg
1018,Tapu Goes Missing,Tapu tries his best to chase the couple but he fails to nab them.Tapu firmly decides to find the blind couple no matter what the consequences. Tapu files a police complaint. Blind Couple finally turn up in Gokuldham society. Sodhi fumes in anger.,19 mins,30-Nov-12,Tapu,"Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-21 17:05:46+00:00,4496594,45587,865,2012-11-30,2012,11,Friday,4,2018.0,3.0,17.0,Wednesday,Evening,19,Standard,246,43,17,3,1,5,6,False,True,False,False,False,False,0.010138115618595848,0.0001923677805094744,0.01897429148021409,6.159816483361299,Below_Avg
1019,Felicitation Ceremony Of Tapu Sena,"All the members of Gokuldham society are extremely happy to see Tapu who reveals to them that the blind couple  were cheaters. Tapu shocked to see the couple in Gokuldham society and Principal too arrives in the society. Tapu Sena, Jethalal, Daya and Bapuji meet all the blind Kids and also spend a rocking time with them.",20 mins,03-Dec-12,"Tapu, Tapu Sena","Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony PAL,2018-03-22 15:45:49+00:00,17904081,135010,2353,2012-12-03,2012,12,Monday,4,2018.0,3.0,15.0,Thursday,Afternoon,20,Standard,322,57,34,5,2,8,10,False,True,False,False,False,False,0.007540738475170076,0.00013142254375287155,0.017428209553295656,4.577012102603194,Above_Avg
1020,Jethalal Is Overweight,Funny moment takes place in Gada house. Jethalal disagrees to accept that his weight has increased. Bapuji fumes in anger as Jethalals weight is increasing day by day. Bapuji orders Jethalal to reduce 10 kilos in the next one month. Jethalal fumes in anger as Natu Kaka too tells him that his weight has tremendously increased.,20 mins,04-Dec-12,"Jethalal, Jetha",Nattu,Gokuldham Society,Sony PAL,2018-03-22 17:19:27+00:00,12078309,101560,1671,2012-12-04,2012,12,Tuesday,4,2018.0,3.0,17.0,Thursday,Evening,20,Standard,327,56,22,3,2,1,3,True,False,False,False,False,False,0.008408461117490775,0.00013834716943016034,0.016453166077529762,5.100415538266529,Above_Avg
1021,Jethalal Finds A Rocking Solution To Reduce His Weight,Bhide requests Jethalal to fix up a meeting with one of his jewellers as his uncle Ajit wants to purchase diamond jewellery for his daughter's wedding. Jethalal finds a unique way to reduce his weight. Kanu gives a rocking solution to Jethalal.,19 mins,05-Dec-12,"Jethalal, Jetha",,Gokuldham Society,Sony PAL,2018-03-23 19:31:11+00:00,7179326,62439,956,2012-12-05,2012,12,Wednesday,4,2018.0,3.0,19.0,Friday,Evening,19,Standard,244,42,54,9,2,0,2,True,False,False,False,False,False,0.00869705475178941,0.0001331601137543951,0.015310698270339526,5.271496896575403,Average
1022,New Guest In Bhide's House,Daya is still trying to figure out Jethalal's sudden visit to a therapy center. Bhide is tensed about Ajit Kaka's arrival. Jethalal insists all his family members not to inform anyone about his visit. Guests have arrived in Bhide's house. Jethalal and his family have reached a therapy center.,20 mins,06-Dec-12,Bhide,Nattu,Gokuldham Society,Sony PAL,2018-03-23 19:28:22+00:00,6648451,63635,969,2012-12-06,2012,12,Thursday,4,2018.0,3.0,19.0,Friday,Evening,20,Standard,293,49,26,5,1,1,2,False,False,False,False,True,False,0.009571400981762372,0.00014574821326829163,0.015227229869884971,5.801139874364739,Average
1023,Bhide's Hunt For A Diamond Jeweller,Bhide and his relative Ajit Kaka are eagerly waiting for Jethalal's arrival. Jethalal had assured him that he will help Ajit Kaka in getting the best deal with regards to the diamond jewellery he intends to buy. Bapuji and his family are tensed as Jethalal had promised them not to reveal anyone about his secret visit.,20 mins,07-Dec-12,Bhide,Nattu,Gokuldham Society,Sony PAL,2018-03-24 17:25:53+00:00,6466451,63657,728,2012-12-07,2012,12,Friday,4,2018.0,3.0,17.0,Saturday,Evening,20,Standard,319,56,35,6,1,1,2,False,False,False,False,True,False,0.009844192765986665,0.00011258105681446333,0.011436111722014515,5.9515480823177835,Average
1024,Ajit Kaka Slaps Bhide,There is tension galore in the society. Daya fails to convince Naitik as she urgently wanted to speak to Jethalal. Daya shares her problem with Baagha and Natu Kaka. Bhide is extremely scared as Ajit Kaka is fuming in anger. Daya finds another solution and also tells Natu Kaka to find Jethalal's file. Ajit Kaka slaps Bhide. Daya finally succeeds in arranging a diamond jeweller.,20 mins,10-Dec-12,Bhide,"Ajit Kaka, Anjali, Komal, Madhavi, Nattu, Roshan",Gokuldham Society,Sony PAL,2018-03-24 17:27:00+00:00,5470388,53737,778,2012-12-10,2012,12,Monday,4,2018.0,3.0,17.0,Saturday,Evening,20,Standard,380,65,21,4,1,6,7,False,False,False,False,True,False,0.009823250229554058,0.00014222023333258384,0.014477650824370091,5.950838231065469,Below_Avg
1025,Daya Is Immensely Missing Jethalal,"Taarak, Popat and Bhide are having fun at Mehta House. Daya is missing her loving Husband Jethalal who has gone to reduce his weight. Taarak Mehta too visits Gada house as he was also missing his dear colleague Jethalal. An unknown woman comes searching for Jethalal in Gokuldham society.",17 mins,11-Dec-12,"Jethalal, Jetha, Daya","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-25 16:11:08+00:00,2938578,29547,624,2012-12-11,2012,12,Tuesday,4,2018.0,3.0,16.0,Sunday,Afternoon,17,Standard,288,49,34,5,3,4,7,True,False,True,False,False,False,0.010054859848926982,0.00021234753259994032,0.021118180587518614,6.117854922396165,Below_Avg
1026,Gulaab Gets Surprised To See Her Husband's Photo In Gada House,"A Kashmiri woman, Gulaab enters the society and  shares her problem with Daya. Gulaab reveals to Daya that her husband left her alone and she is searching him since a long time. Gulaab gets introduced to all the female members of Gokuldham society. Daya is shocked to see Gulaab's husband's photo. Gulaab in turn gets surprised to see Jethalal's photo.",20 mins,12-Dec-12,Gada,"Anjali, Gulaab, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-25 17:28:37+00:00,674520,5929,62,2012-12-12,2012,12,Wednesday,4,2018.0,3.0,17.0,Sunday,Evening,20,Standard,352,60,62,11,1,5,6,False,False,False,False,False,False,0.0087899413064975,9.19170789345328e-05,0.01045531197301855,5.310731615472313,Low
1027,Daya Challenges Gulaab,Gulaab reveals to Daya that she will stay in the Gada house. Gulaab introduces herself to Bapuji and also tells him that she is Daya's relative. Bapuji gets to know from Sundar that he does not have any clue about Kachru Mama. Daya gets agitated and forces Gulaab to leave the Gada house. Daya calls for an urgent meeting in the society. Will Bapuji come to know about Jethalal and Gulaab?,19 mins,13-Dec-12,Daya,"Anjali, Gulaab, Komal, Madhavi, Roshan, Sundar",Gokuldham Society,Sony PAL,2018-03-26 22:19:41+00:00,3144536,32890,682,2012-12-13,2012,12,Thursday,4,2018.0,3.0,22.0,Monday,Night,19,Standard,389,71,22,3,1,6,7,False,False,True,False,False,False,0.0104594094456513,0.00021688407546166573,0.020735155513666354,6.362399297575446,Below_Avg
1028,Tapu Goes Missing,"Tapu tries his best to chase the couple but he fails to nab them, there in the Gada house, Jethalal shares his problem with Bapuji. Tapu firmly decides to find the couple no matter whatsoever may be the consequences. Tapu files a police complaint. Blind couple arrives in Gokuldham Society. Sodhi fumes in anger.",18 mins,14-Dec-12,Tapu,"Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-26 22:19:51+00:00,2581309,29548,619,2012-12-14,2012,12,Friday,4,2018.0,3.0,22.0,Monday,Night,18,Standard,312,54,17,3,1,5,6,False,True,False,False,False,False,0.011446900992131902,0.000239800721339165,0.020948255440116418,6.964060883814807,Below_Avg
1029,The Revealing Truth,The Gulaabo story becomes very curious with every passing day. Everyone starts doubting Jethalal because of Gulaabo. The society members start feeling that somehow Jethalal is hiding important information about his equation with Gulaabo and  he is responsible for whatever that has happened. Watch the episode to know how everyone reacts to Jethalal's version of the story.,18 mins,17-Dec-12,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-27 16:23:40+00:00,26135528,182481,3215,2012-12-17,2012,12,Monday,4,2018.0,3.0,16.0,Tuesday,Afternoon,18,Standard,373,57,19,3,1,4,5,True,False,False,False,False,False,0.006982104705054946,0.00012301262392660963,0.017618176039280585,4.238467872603611,High
1030,Runaway Jethalal,"There is a lot of problem and tension happening in the Society. The situation comes to such a point that Jethalal needs to run away. He is in deep trouble, as some woman has come to the society and claims that she is the second wife of Jethalal.",20 mins,18-Dec-12,"Jethalal, Jetha","Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-27 17:43:28+00:00,12051075,112601,2295,2012-12-18,2012,12,Tuesday,4,2018.0,3.0,17.0,Tuesday,Evening,20,Standard,245,48,16,2,2,5,7,True,False,False,False,False,False,0.009343646990525992,0.0001904394263217658,0.020381520754515905,5.682363964844301,Above_Avg
1031,The Kashmiri Tale,"Jethalal finally opens up to the Society members and tells his kashmiri tale. He narrates the story of him and Gulaabo to everyone. Then, everyone decides who is at fault. Watch to know what happens to Gulaabo.",20 mins,19-Dec-12,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-28 20:12:20+00:00,6978227,70204,1849,2012-12-19,2012,12,Wednesday,4,2018.0,3.0,20.0,Wednesday,Evening,20,Standard,210,37,17,3,1,4,5,True,False,False,False,False,False,0.010060433680298207,0.00026496698015599375,0.02633715547325689,6.142247000241322,Average
1032,The Film Shooting,"Bapuji becomes angry and rages at Jethalal as he became a part of film shooting event despite his warning not to be associated with it. Unable to control the situation, Jethalal requests Taarak Mehta to find an amicable  solution to the problem.",20 mins,20-Dec-12,"Jethalal, Taarak, Bapuji",,Gokuldham Society,Sony PAL,2018-03-28 19:57:32+00:00,2079866,12031,140,2012-12-20,2012,12,Thursday,4,2018.0,3.0,19.0,Wednesday,Evening,20,Standard,245,42,17,3,3,0,3,True,False,False,True,False,False,0.0057845044899505595,6.7311996392077e-05,0.01163563829787234,3.497627492527166,Low
1033,Gulaabo's Next Step,Gulaabo meanwhile continues to spin her web of deceit. She has now come up with a plan to convince everyone in the society that she is the second wife of Jethalal. What is Gulaabo's plan and what will happen to Jethalal? Will he prove his innocence in the matter?,20 mins,21-Dec-12,Jethalal,"Anjali, Gulaab, Gulaabo's, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-03-29 19:27:48+00:00,13040061,86397,2205,2012-12-21,2012,12,Friday,4,2018.0,3.0,19.0,Thursday,Evening,20,Standard,263,49,19,3,1,6,7,True,False,False,False,False,False,0.006625505308180283,0.00016909428804863044,0.025521424107039514,4.042940900127622,Above_Avg
1034,Legal Notice To Jethalal,"Gulaabo is hell bent in making life difficult for Jethalal as her advocate Jwala, files a legal notice against Jethalal and threatens him of imprisonment. Jethalal and Taarak Mehta must find a lawyer to answer the legal notice.",21 mins,24-Dec-12,"Jethalal, Jetha",,Gokuldham Society,Sony PAL,2018-03-29 19:32:56+00:00,6122936,60004,1539,2012-12-24,2012,12,Monday,4,2018.0,3.0,19.0,Thursday,Evening,21,Standard,227,38,24,4,2,0,2,True,False,False,False,False,False,0.009799872185521426,0.0002513499648942983,0.02564786267811016,5.980463297270575,Average
1035,Gulabo At Home,Gulaabo plays the victim card perfectly and manages to make Taarak feel some sympathy for her. Taarak asks Gulaabo to stay at his place because she had nowhere else to go. Jethalal becomes very angry with this development and questions his friendship with Taarak.,20 mins,25-Dec-12,"Jethalal, Taarak",Gulabo,Gokuldham Society,Sony PAL,2018-03-30 17:32:37+00:00,13589883,136024,2787,2012-12-25,2012,12,Tuesday,4,2018.0,3.0,17.0,Friday,Evening,20,Standard,263,44,14,3,2,1,3,True,False,False,True,False,False,0.01000920979163619,0.00020507901318362983,0.0204888807204558,6.087557480255166,Above_Avg
1036,Search For A Lawyer,"Meanwhile Gulaabo's legal notice to Jethalal needs to be replied to with the help of an advocate. Taarak and Jethalal approach a lawyer but he refuses to take their case. Next, they pay a visit to a prominent lawyer who asks for hefty fees to fight for Jethalal's case.",19 mins,26-Dec-12,"Jethalal, Taarak",,Gokuldham Society,Sony PAL,2018-03-30 17:38:15+00:00,6335840,65932,1118,2012-12-26,2012,12,Wednesday,4,2018.0,3.0,17.0,Friday,Evening,19,Standard,269,49,19,4,2,0,2,True,False,False,True,False,False,0.010406195483756616,0.0001764564483231192,0.01695660746515402,6.314299869583217,Average
1037,Lunch For Jethalal,Jhethalal and Taarak Mehta finally visit a lawyer and decide that they will hire him for their work. They tackle the lawyer very diplomatically and the lawyer seems to be a bit of a simpleton. Watch to know what will happen and what is the case they are worried about.,21 mins,27-Dec-12,"Jethalal, Jetha",,Gokuldham Society,Sony PAL,2018-03-31 17:09:09+00:00,4230226,45988,883,2012-12-27,2012,12,Thursday,4,2018.0,3.0,17.0,Saturday,Evening,21,Standard,268,50,18,3,2,0,2,True,False,False,False,False,False,0.010871284212407514,0.00020873584325380176,0.01920024353649786,6.606264864746029,Below_Avg
1038,The Wives,Jethalal has made a good business decision and is very happy that he has closed a deal on a new dealership. But just as the formalities were being finalised Gulaabo comes in with food for them and introduces herself as Jethalal's wife much to everybody's shock..,20 mins,28-Dec-12,Jethalal,"Abdul, Bagha, Nattu",Gokuldham Society,Sony PAL,2018-03-31 17:12:49+00:00,4230088,45766,996,2012-12-28,2012,12,Friday,4,2018.0,3.0,17.0,Saturday,Evening,20,Standard,262,46,9,2,1,3,4,True,False,False,False,False,False,0.010819157705665295,0.00023545603886821295,0.021762405226473224,6.585677038946462,Below_Avg
1039,Gulabo's Resolution,"Tension once again mounts up and Daya is enraged at Gulaabo who is staying in a hut in the midst of the Gokuldham Society. Gulaabo, realizing she's losing grip on the situation, decides to pull off a final stunt against Jethalal.",19 mins,31-Dec-12,"Jethalal, Daya","Anjali, Gulabo, Gulabo's, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2013-01-02 07:05:06+00:00,6047322,40993,1522,2012-12-31,2012,12,Monday,4,2013.0,1.0,7.0,Wednesday,Morning,19,Standard,229,41,19,2,2,6,8,True,False,True,False,False,False,0.006778701914880353,0.00025168161184709335,0.037127384495291994,4.167893793667049,Average
1040,The Will To Succeed,Gulaabo is all set to prove Jethalal wrong and  very stubbornly goes ahead with her devious plan to establish that she indeed is the wife of Jethalal. She puts everyone in danger as they all gather at night in extreme winter. Watch to know her next move and what will happen to Jethalal.,19 mins,01-Jan-13,Jethalal,,Gokuldham Society,Sony SAB,2013-01-03 05:15:19+00:00,2735559,19371,754,2013-01-01,2013,1,Tuesday,1,2013.0,1.0,5.0,Thursday,Morning,19,Standard,287,53,19,4,1,0,1,True,False,False,False,False,False,0.007081182646332012,0.0002756291216423694,0.038922155688622756,4.358961236456156,Below_Avg
1041,Victory For Gulabo,The high tension drama continues as Gulaabo stands outside Jethalal's house and everyone is concerned that she will fall ill.Being basically well natured citizens everyone from the society convinces Jethalal to take her home.,20 mins,02-Jan-13,Jethalal,"Anjali, Gulabo, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2013-01-09 15:01:38+00:00,6636661,45492,973,2013-01-02,2013,1,Wednesday,1,2013.0,1.0,15.0,Wednesday,Afternoon,20,Standard,225,34,18,3,1,5,6,True,False,False,False,False,False,0.00685465072652487,0.00014660984693811436,0.02138790583166641,4.171434374690167,Average
1042,The Courts Order,"It's now time for the Gulaabo case to take a legal turn. Jethalal comes running to Taarak as he gets a letter from the court. When Taarak reads the contents, he informs Jethalal that they will have to visit their lawyer. Is Jethalal in big trouble?",20 mins,03-Jan-13,"Jethalal, Taarak",Inspector,Gokuldham Society,Sony SAB,2013-01-09 19:44:48+00:00,24988555,136532,3095,2013-01-03,2013,1,Thursday,1,2013.0,1.0,19.0,Wednesday,Evening,20,Standard,248,46,16,3,2,1,3,True,False,False,True,False,False,0.005463781100436536,0.00012385669664145458,0.02266851237429779,3.3278113389185036,High
1043,Jetha's Court Case,"As the summons have been served it is now time to appear before the court of law. Jetha walks down to see if all the people of Gokuldham are waiting for him. They all gather to wish him and Daya, and stand by them during the trial. Jetha is moved by all the love and support given by the people.",21 mins,24-Mar-20,Jetha,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2013-01-09 22:08:48+00:00,8654965,66614,1729,2020-03-24,2020,3,Tuesday,1,2013.0,1.0,22.0,Wednesday,Night,21,Standard,295,60,18,3,1,4,5,False,False,False,False,False,False,0.0076966218007095575,0.00019976970446793205,0.025955115214291075,4.697880962212907,Average
1044,A Gathering At The Court,"Proceedings in the court is about to begin. Jetha reaches the court but he is visbly very nervous. All the people from Gokuldham have gathered at the court to support Jetha. Howver, some seem to be very supportive while some not so much.",18 mins,24-Mar-20,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2013-01-09 23:39:51+00:00,12461650,93063,2088,2020-03-24,2020,3,Tuesday,1,2013.0,1.0,23.0,Wednesday,Night,18,Standard,237,43,24,5,1,4,5,True,False,False,False,False,False,0.007467951076466513,0.0001675540423977529,0.022436172956245164,4.5477922628390095,Above_Avg
1045,Gokuldham Against The Judge,"At the court, Soudi looses his cool and gets furious and argues with the Judge. Jetha and the others try to calm him down. But he makes a scene and leaves the court.",20 mins,24-Mar-20,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2013-01-10 06:33:21+00:00,15525526,150111,3719,2020-03-24,2020,3,Tuesday,1,2013.0,1.0,6.0,Thursday,Morning,20,Standard,165,33,27,4,1,4,5,True,False,False,False,False,False,0.009668657302260979,0.00023954098305326447,0.02477483479002345,5.897010774577892,Above_Avg
1046,Daya's Confession,"The high octane drama continues in the courts. The judge asks Daya about the party and she decides to tell them the truth. However, the lawyer twists her answers and she gets very furious. All the people of Gokuldham too are unhappy with the way the lawyer has twisted her answers and rage in unison.",19 mins,24-Mar-20,Daya,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-04-04 22:06:55+00:00,11770763,123037,2668,2020-03-24,2020,3,Tuesday,1,2018.0,4.0,22.0,Wednesday,Night,19,Standard,300,55,17,2,1,4,5,False,False,True,False,False,False,0.010452762454501678,0.000226663282009562,0.021684357678115704,6.362322785504832,Above_Avg
1047,Champaklals Anger,"Not all assembeled in the courtroom are fully in support of Jethalal. A few people reveal Jethas wrong doings in front of the Judge. Champaklal even gets furious and scolds Jetha in front of everyone. However, Daya stands up for Jetha.",20 mins,24-Mar-20,Champaklal,,Gokuldham Society,Sony SAB,2013-01-12 15:15:07+00:00,1799994,8431,424,2020-03-24,2020,3,Tuesday,1,2013.0,1.0,15.0,Saturday,Afternoon,20,Standard,235,41,17,2,1,0,1,False,False,False,False,False,True,0.004683901899727499,0.00023555620987836078,0.05028462998102467,2.9045636237878436,Low
1048,Finding A Solution,"Seeing that things are not turning out to be smooth with many people even casting doubts on Jehtalal, the people of Gokuldham gather to find a solution for Jetha's problem. Everyone shares their ideas and try to come up with a solution.",20 mins,24-Mar-20,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-04-05 23:09:13+00:00,8458760,82135,1306,2020-03-24,2020,3,Tuesday,1,2018.0,4.0,23.0,Thursday,Night,20,Standard,236,42,18,3,1,4,5,True,False,False,False,False,False,0.009710050916440362,0.00015439613437476246,0.015900457777344893,5.887789003614122,Average
1049,Popatlal Becomes A Detective,Things again seem to be getting out of control as Popatlal argues with the Jethas might-be wife. Jetha is upset and tries to sort out the issue. The  people of Gokuldham wonder if they should call the police to avoid things getting out of control.,20 mins,24-Mar-20,"Popat, Popatlal","Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony PAL,2018-04-07 00:24:20+00:00,8596065,79348,1751,2020-03-24,2020,3,Tuesday,1,2018.0,4.0,0.0,Saturday,Night,20,Standard,247,45,28,4,2,5,7,False,False,False,False,False,False,0.009230734152110977,0.00020369783107761154,0.022067070788541757,5.619919623697631,Average
1050,Jetha's Spoiled Name,Jetha is very troubled with the way things are unfolding both in the court room as well as in the Society. He decides to visit the lawyer with Tarak. He explains his problems to the lawyer. Later he gets the news that his name and reputation is getting spoiled because of the case.,20 mins,24-Mar-20,Jetha,"Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2013-01-17 07:32:26+00:00,4346304,39170,1025,2020-03-24,2020,3,Tuesday,1,2013.0,1.0,7.0,Thursday,Morning,20,Standard,281,53,20,3,1,5,6,False,False,False,False,False,False,0.009012252936689901,0.00023583250600222488,0.026167317658471828,5.50168476441483,Below_Avg
1051,Jetha Brings Home His Bride,"Everyone gathers to help Jetha. Meanwhile, Jetha brings home his new bride. Everyone is shocked. Daya decides to leave Jethas house and Tapu wants to go with her. What will happen next? Watch now to find out!",19 mins,25-Mar-20,Jetha,,Gokuldham Society,Sony SAB,2013-01-18 06:37:12+00:00,7983117,45868,1635,2020-03-25,2020,3,Wednesday,1,2013.0,1.0,6.0,Friday,Morning,19,Standard,208,37,27,5,1,0,1,False,False,False,False,False,False,0.00574562470453274,0.0002048071943819445,0.035644988990385665,3.5292977004724215,Average
1052,Missing Jetha,"Jetha is missing from Gokuldham. Meanwhile, Gulabri is preparing for the wedding to happen at Gokuldham. Everyone is searching for Jethalal. What will happen now?",20 mins,25-Mar-20,Jetha,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2013-01-19 03:32:06+00:00,9553507,78668,3360,2020-03-25,2020,3,Wednesday,1,2013.0,1.0,3.0,Saturday,Night,20,Standard,162,25,13,2,1,4,5,False,False,False,False,False,False,0.008234462147307565,0.00035170326962619385,0.042710597567021315,5.081358596235017,Average
