episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
172,Daya's Silence,Daya is continuing with her vow of silence but that is causing Jethalal a lot of worries. He is realizing that his life is incomplete without hearing Daya's voice. Will he apologize to her and make things alright?,17 mins,30-Aug-08,Daya,,,Sony SAB,2020-06-20T14:30:00Z,11179214,103492,1993
173,Jethalal Woos Daya,"Jeethalal tries to make it up to Daya by any means possible but every effort of his seems futile. However, Jethalal is not eating anything and hence has got a fever. Will Daya finally put her husband before the vow of silence?",20 mins,30-Aug-08,"Jethalal, Daya",,,Sony SAB,2020-06-21T14:30:00Z,10090399,114971,2745
174,Goli's Cousin,"Komal is going to her brother's house but Goli doesn't wanna go. Tapu Sena convinces Komal to let Goli stay in Gokuldham. However, Komal has called Goli's Uncle and Aunt to take care of him while she is gone.",20 mins,30-Aug-08,Goli,,Gokuldham Society,Sony SAB,2020-06-22T14:30:05Z,26710366,241866,2774
175,Cruel Monty,"Goli's cousin, Monty, has come to Gokuldham Society and is going to stay there for a few days. However, he turns out to be very rude and Tapu doesn't like him. Today Tapu and his friends are playing a cricket match, he is waiting to teach Monty a lesson.",18 mins,30-Aug-08,"Tapu, Goli",,Gokuldham Society,Sony SAB,2020-06-23T14:32:20Z,15022986,146091,2745
176,The Bet,"As Bhide gets hit by the ball while the children play cricket, an argument breaks out between Jethalal and Bhide. A cricket match is finalized between Bhide and Jhethalal on the following Saturday, on the condition that the loser will have to clean the Gokuldham Society.",21 mins,08-Jan-20,"Jethalal, Bhide",,Gokuldham Society,Sony SAB,2020-06-24T14:30:00Z,14010836,152708,2234
177,Gokuldham Premiere League,"As the ladies and the children of the Gokuldham Society decide to participate in the match as well, Taarak flips the coin for the team selection. Bhide and Jethalal, being the captains, choose their respective teams for the upcoming cricket match. Stay tuned to find out more.",19 mins,08-Jan-20,"Jethalal, Mehta, Bhide",,Gokuldham Society,Sony SAB,2020-06-25T14:30:02Z,6605344,73096,1310
178,Jabardast Jetha VS Bindass Bhide,"When Babita declares to sponsor Jethalal's team, Mohan steps forward and sponsors Bhide's team. Both the teams get ready for the match and start practising and making strategies in secret. Keep watching the show to find out more.",19 mins,08-Jan-20,"Jethalal, Bhide",,,Sony SAB,2020-06-26T14:48:43Z,11794918,138843,2706
179,Getting Ready For The Match,"Both the team captains, Jethalal and Bhide, give a pep talk to their respective teams and as they reach the compound to practice, an argument breaks out between the teams, as to who practices first. Later, while discussing the game rules, the meeting gets interrupted when Sundar visits Gokuldham.",18 mins,08-Jan-20,"Jethalal, Bhide",,Gokuldham Society,Sony SAB,2020-06-27T14:30:01Z,10037958,116810,1944
180,It's Showtime!,"According to Sundar's plan, Tapu Sena gathers a lot of sponsors for the match to bear the recurring expenses. Sundar and Monica are ready to host the match. The two teams perform song and dance before the match and praise their respective team members. Stay tuned to find out more.",19 mins,08-Jan-20,Tapu,,,Sony SAB,2020-06-28T14:30:02Z,7938538,92874,1866
181,Daya Does Wonders,"The match begins with a boom as Bindaas Bhide team wins the toss and chooses to bat. Tapu plays brilliantly as expected by everyone, but Daya shocks the whole team and the entire audience with her exceptional performance. Keep watching the show to catch up on all the excitement.",19 mins,08-Jan-20,Daya,,,Sony SAB,2020-06-29T14:30:04Z,12789666,130415,2709
182,A Tight Competition,"With a hattrick, Daya blows everyone's mind off just like Sonu does with her batting. Bhide's team stands at 84 runs whereas Jethalal's team requires 13 runs from 6 balls to win. Who will take home the GPL trophy home? Keep watching the show to find out.",19 mins,08-Jan-20,"Jethalal, Daya, Bhide",,,Sony SAB,2020-06-30T14:42:43Z,10212855,102810,2234
183,Mayhem In The Match,"As the last run that is needed to be scored by Jethalal's team to win the match, the police comes and confiscates the bat and ball to stop the match, stating that a night match without police permission is prohibited. What will happen now?",18 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-07-01T14:30:08Z,11738532,130390,2071
184,The Breakfast Affair,"A hungry Jethalal is unable to have his favourite snack, as unexpected guests come over and finish up all the food. However, he calms down and plans on romancing with Daya. But Daya, on the other hand, decides to go to the mall What will Jethalal do now?",19 mins,08-Jan-20,"Jethalal, Daya",,,Sony SAB,2020-07-02T14:30:07Z,5746461,65351,1210
185,Jethalal Romances With Daya,"While Daya is working in the kitchen, Jethalal comes and gets romantic with Daya. However, Daya has a plan to go shopping at a mall that has just opened up, along with all of her friends from Gokuldham.",17 mins,08-Jan-20,"Jethalal, Daya",,Gokuldham Society,Sony SAB,2020-07-03T14:30:06Z,6736023,66187,1367
186,Jethalal Looks After The Kid,"Daya has gone shopping with the other ladies while Jethalal has to look after the kid. However, Jethalal is not enjoying his time as the kid is extremely naughty and is creating a nuisance all over the house.",17 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-07-04T14:30:02Z,35371215,221256,4475
187,Awkward Situation Between Jethalal And Babita,"Babita comes to visit the kid in Jethalal's house. But the kid starts saying mean things about both of them, which makes Jethalal and Babita awkward. Meanwhile, Daya has found her purse and is returning home. Watch the episode to find out more.",19 mins,08-Jan-20,"Jethalal, Babita",,,Sony SAB,2020-07-05T14:30:03Z,15480291,124839,2712
188,Dr. Hathi Arrives In Tempo,"Dr Hathi is back to the Gokuldham Society after a break. He makes a heroic entry in a tempo, eating bananas. Everyone is happy to see him, however, Hathi is finding it difficult to get out of the situation he is in.",20 mins,08-Jan-20,Dr.Hathi,,Gokuldham Society,Sony SAB,2020-07-06T14:30:00Z,18445795,157268,2040
189,Jethalal Seeks For Babita's Attention,Jethalal is praying from his balcony when he suddenly sees Babita. He starts trying hard and makes noises to gather her attention. Jethalal wants to know Babita's problem and wants to help her.,18 mins,08-Jan-20,"Jethalal, Babita",,,Sony SAB,2020-07-07T14:30:08Z,15391864,139440,1839
190,Jethalal Misinterpreted The Situation,"Jethalal gets to know from somewhere that it is Babita's birthday. So he gets flowers for her and visits her house to give her birthday wishes. Babita tries to convey to him that it is not her birthday. But Jetha, in his excitement, does not understand.",19 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-07-08T14:30:01Z,9418940,94640,1703
191,Jethalal Gets Panicky,"Jethalal receives a call from Mehta and gets to know that it's Babita's birthday and there is a party with a western theme. Jethalal gets worried as he hears this and decides to learn western dance, and while practicing gets caught by his wife.",18 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-07-09T14:30:08Z,19836677,154839,2588
192,Struggle Of Jethalal,"Daya reacts unexpectedly after catching Jethalal dancing with a stranger, he explains that she is a dance instructor. Later on, they find out everybody received an invitation card except them.",19 mins,08-Jan-20,"Jethalal, Jetha",,,Sony SAB,2020-07-10T14:30:03Z,10632410,108601,1605
193,One Problem At A Time,"A sorrowful Jethalal, after realizing the embarrassment of his family for not being invited, decides to go away. Suddenly, Babita shows up at his house and finds out about the issue. She clarifies everything and finally invites them. After all of this, a new problem arises.",19 mins,08-Jan-20,"Jethalal, Babita",,,Sony PAL,2020-09-05T14:00:05Z,14744802,147403,2513
194,Finally Party Time,"As it's a western-themed party, Daya tells Jethalal that she won't be comfortable wearing western clothes in front of Champaklal. After a while, Champaklal himself solves this problem for them by deciding not to attend the party at all. They at last leave for the party.",19 mins,08-Jan-20,"Jethalal, Daya, Champaklal",,,Sony PAL,2020-09-05T14:30:04Z,6150064,58624,1095
195,Daya Astonishes Everyone,All of Gokuldham has arrived for the birthday bash with full spirit and excitement. Babita has a superb entry being the birthday girl and is looking stunning. Daya steals the limelight and astonishes everybody with her unseen attire and look.,18 mins,08-Jan-20,Daya,,Gokuldham Society,Sony PAL,2020-09-06T15:42:21Z,7236963,68855,1334
196,"One Night, Two Different Plans","The women of Gokuldham have decided to keep a Jagran for the well-being of their husbands and ask them to stay awake at night. The men hesitate at first, but eventually, they all agree because they decide to have their plan of having a party while their wives are busy with the Jagran.",18 mins,08-Jan-20,"Daya, Babita, Madhavi, Anjali, Roshan, Komal, Jethalal, Bhide, Sodhi, Iyer, Mehta",,Gokuldham Society,Sony PAL,2020-09-06T15:43:46Z,4762617,40066,606
197,Realization,"All the women are decked up for the Jagran and are ready to leave for the clubhouse, whereas, the men are waiting for their chance to begin the party at Taarak's place. All of them finally reach Taarak's place without knowing that he has something else planned for them.",17 mins,08-Jan-20,Taarak,,,Sony PAL,2020-09-07T13:30:00Z,13986467,104113,1411
198,Battle Of Antakshari,"As Taarak made all the men of Gokuldham realize that what they were doing was wrong, everybody goes for the Jagran to accompany their wives. They also decide to play Antakshari the whole night. Jethalal begins the Antakshari round and everybody has a great time singing and dancing.",37 mins,08-Jan-20,"Jethalal, Mehta",,Gokuldham Society,Sony SAB,2020-07-16T14:30:04Z,9995634,95283,1512
199,Meeting At Sodhis,"Daya loses in the Antakshari deliberately, so that everybody can sleep and makes Jethalal order food for everyone, as everybody seems hungry. This gesture of hers makes Champaklal and Jethalal proud. Later, all the residents gather at Sodi's house to plan for the anniversary of Gokuldham Society.",18 mins,08-Jan-20,Sodhi,,Gokuldham Society,Sony SAB,2020-07-17T14:47:33Z,11620372,126780,2077
200,Gokuldham's  Anniversary Celebration Begins,Taarak invites his friend as the chief guest for the Gokuldham Society Anniversary function. They conducted a dance performance by the Gokuldam residents. The couples gave their debut in the rain dance performance.,36 mins,08-Jan-20,Taarak,,Gokuldham Society,Sony SAB,2020-07-18T14:30:03Z,3847038,49682,1035
201,Raju Srivastav Visits Gokuldham,Members of Gokuldham celebrate completing 200 episodes with Raju Srivastav. They have a few amazing dance performances lined up.,36 mins,08-Jan-20,"Jethalal, Daya, Bhide, Madhavi, Mehta, Anjali, Iyer, Babita, Sodhi, Roshan, Popatlal, Tapu Sena, Raju Srivastav (Guest)",,Gokuldham Society,Sony SAB,2020-07-19T14:31:37Z,24786349,215351,3339
202,The Gadas Plan On A Trip,"As Krishna Janmashtami is approaching, Daya requests Jetha to plan a trip to visit her family. Will Jetha agree to this?",FULL_HD119 mins,08-Jan-20,Gada Family,,,Sony SAB,2020-07-20T14:30:16Z,12739685,137677,2711
203,Tapu's Essay,Tapu writes an essay on the first showers of the year. Will his parents be impressed with it?,20 mins,08-Jan-20,Tapu,,,Sony SAB,2020-07-21T14:30:01Z,12490491,132094,1819
204,Jetha Lal's Trip To London,Jetha gets an opportunity to go on a trip to London. Nattu Kaka thinks that he's the cause for this trip. What will Jetha say to this?,FULL_HD120 mins,28-Jul-09,Jethalal,,,Sony SAB,2020-07-22T14:30:04Z,9353176,97801,1368
205,Raksha Bhandan At Gokuldham Society,"Jethalal is in turmoil & wonders how to tell his family that they were not going to London. He decides to tell his family after Raksha Bandhan event. Meanwhile, all the ladies come over to Jetha's house and give him a list of things to buy from London. What will Jetha do next?",19 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-07-23T14:30:03Z,10470714,122265,1733
206,London Trip Canceled,"Jethalal finally takes the courage to inform his family at the breakfast table that the London trip was canceled. Champaklal demands answers and asks if he was planning to go alone. But when Jetha explains the situation, his family decides to support him and let him go alone.",20 mins,08-Jan-20,"Jethalal, Champaklal",,,Sony SAB,2020-07-24T14:29:36Z,15997021,121693,1922
207,Jethas Preparation For London,"Jetha and his family are excited that he is going to London. Everyone is demanding gifts from Jetha, which is slowly upsetting him. Watch this episode and find out.",20 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-07-25T14:30:03Z,7972446,53528,817
208,Jetha's Send Off,The members of the society including Jetha's family send Jetha off to the airport. Will the family be happy about Jetha's trip or not?,20 mins,08-Jan-20,Jethalal,,Gokuldham Society,Sony SAB,2020-07-26T14:30:02Z,19511612,213979,3639
209,Jethas Digestive Pills,"As Jethalal gets into the plane, Daya bhabhi runs behind him to give him his digestive pills. Will Daya get into trouble for loving her husband?",20 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-07-27T14:30:04Z,7496335,73354,1899
210,Sundarlal Helps Tappu Sena,Sundarlal visits Jetha's place and decides to help Tappu Sena regarding a financial matter. What is this favor that makes Tappu Sena jump with joy?,FULL_HD140 mins,08-Jan-20,"Tapu, Sundar",,,Sony SAB,2020-07-28T14:31:37Z,3676673,44428,690
211,Dahi Handi Competition At Gokuldham,"The members of Gokuldham Society celebrate Krishna Janmashtami together. They even arrange the famous Dahi Handi Competition for which, there is a huge prize. Will Tappu Sena win the game?",17 mins,08-Jan-20,"Tapu Sena, Jethalal, Daya, Bhide, Madhavi, Mehta, Anjali, Iyer, Babita, Sodhi, Roshan, Popatlal",,Gokuldham Society,Sony SAB,2020-07-29T14:31:39Z,10705395,82780,1806
212,Prevention Against Swine Flu,"As the deadly disease, swine flu is spreading, Daya has her own way of protecting herself from the flu. What is Daya's way?",16 mins,08-Jan-20,Daya,,,Sony SAB,2020-07-30T15:26:44Z,3235928,34223,702
213,Bhide The Philosopher,"Jethalal and his family have arranged for a bhajan session and Sonu is excited to help them along with Tappu Sena. Meanwhile, Bhide gets deeply philosophical with his wife and starts explaining the purpose of life.",18 mins,08-Jan-20,Bhide,,,Sony SAB,2020-07-31T14:29:04Z,8027699,67005,1258
214,Roshan Bhabi's Party,"The ladies of Gokuldham get together to discuss Roshan's party. During the conversation, Daya is reminded of Jetha's absence.",19 mins,08-Jan-20,Roshan,,Gokuldham Society,Sony SAB,2020-08-01T14:30:05Z,6809608,68611,1188
215,Preparations For Ganesh Chaturti,"As Ganesh Chaturti is approaching, Bhide sends an invite to every house in the society. When Abdul gives the invitation to the Gadas, Champaklal sees the price everyone has to contribute and gets angry. What is the price fixed by Bhide?",FULL_HD119 mins,08-Jan-20,"Champaklal, Bhide, Abdul",,Gokuldham Society,Sony SAB,2020-08-02T14:42:21Z,5048485,60433,970
216,Jetha In London,The society celebrates Ganesh Chaturti together while Jetha is in London on his business trip. Will Jethalal get homesick?,19 mins,08-Jan-20,Jetha,,Gokuldham Society,Sony SAB,2020-08-03T14:30:03Z,2442003,28982,555
217,Daya Misses Jethalal,"While Jetha is on a business trip in London, Daya misses him and remembers all the good times they had before he left.",19 mins,08-Jan-20,"Jethalal, Jetha, Daya",,,Sony SAB,2020-08-04T16:34:27Z,3458433,42611,668
218,Ethnic Day Contest At Gokuldham Society,"On the account of Ganesh Chaturti, Gokuldham Society arranges an ethnic day contest. The prize is given to the winner by Randeep Huda. Who is the winner?",19 mins,08-Jan-20,Daya,,Gokuldham Society,Sony SAB,2020-08-05T14:32:53Z,2516832,30359,347
219,Garba At Gada Electronics,Daya comes to look after Jetha's shop to look after the business. She comes up with a sales pitch which becomes a big hit. What is this new scheme?,19 mins,08-Jan-20,Daya,,,Sony SAB,2020-08-06T14:30:00Z,3287488,40505,803
220,Couples Shayari Time At Gokuldham Society,"While celebrating Ganesh Chaturthi, Gokuldham Society members decide to have fun amongst themselves by playing a few games. One such game is the couple Shayari. what poems one loved one sings to another.",17 mins,08-Jan-20,"Jethalal, Daya, Bhide, Madhavi, Mehta, Anjali, Iyer, Babita, Sodhi, Roshan, Komal, Dr.Hathi",,Gokuldham Society,Sony SAB,2020-08-07T15:22:15Z,1966771,27285,458
221,Daya's Shayari On Jethalal,"While playing the couple Sharyari game, Daya recites an emotional poem for her husband, saying that she misses him. Meanwhile, Jethalal calls her from London to give her a surprise. What is this surprise?",19 mins,08-Jan-20,"Jethalal, Daya",,,Sony SAB,2020-08-08T14:30:00Z,17196520,144256,1929
222,Robbery At Gokuldham!,Tappu Sena returns from school to witness the donation box open. They all scream and alarm their parents about the robbery. How will the Gokuldham residents solve this problem?,38 mins,08-Jan-20,Gokuldham Members,,Gokuldham Society,Sony SAB,2020-08-09T14:30:01Z,1907418,19030,180
223,Remembering Funny Incidents From The Past,Gokuldham has a special guest at Ganesh Chaturthi puja and all the residents take a moment to remember everyone's funny incidents from the past. They also realize how these little incidents brought all the residents to become one big family.,18 mins,08-Jan-20,Gokuldham Members,,Gokuldham Society,Sony SAB,2020-08-10T14:30:03Z,2156806,21396,341
224,Daya Misses Jethalal,"Jetha is still in London on business and Daya on the other hand, is unable to sleep as she's missing her husband.",17 mins,08-Jan-20,"Jethalal, Daya",,,Sony PAL,2020-09-11T14:00:06Z,2993864,34727,577
225,Jethalal Returns From London,"As Daya starts the aarti, Jetha makes an entry back home. Everyone in the colony is excited to have him back.",18 mins,08-Jan-20,Jethalal,,,Sony PAL,2020-09-12T14:00:10Z,7306247,51365,787
226,Gifts From London,"Now that Jetha has come home, Tappu demands that he gets his gifts immediately. So, Jetha decides to unpack and distribute everyone's gifts to them.",19 mins,08-Jan-20,Jethalal,,,Sony PAL,2020-09-12T15:15:13Z,16903930,150892,2055
227,No Gift For Iyer,Daya and Jetha decide to visit their fellow residents and give them their gifts. Will everyone like their presents?,18 mins,08-Jan-20,Iyer,,,Sony PAL,2020-09-13T14:00:03Z,907114,10173,225
228,Jethalal Back To His Lazy Practices,"Jethalal is back to his lazy practices now that hes back from London. He uses the difference in timings as his excuse to sleep longer but, will that work?",18 mins,08-Jan-20,Jethalal,,,Sony PAL,2020-09-13T14:30:00Z,3228454,30708,228
229,Jethalals New Look,Jethalal is back from London and has returned with a new look. What does everyone else think about his new look?,19 mins,08-Jan-20,Jethalal,,,Sony PAL,2020-09-14T13:30:04Z,797553,8157,233
230,Jethalal's New Friend From London,"A lady visits the Gada family and asks Daya to pass on a gift to Jetha. Everyone in the society is surprised to have this visitor. But, what is Daya's opinion on this?",19 mins,08-Jan-20,Jethalal,Karie,Gokuldham Society,Sony PAL,2020-09-14T14:00:04Z,4867992,46645,545
231,Jethalals Intervention,"Daya lets her friends know about the guest she had. Shocked to hear the news from Daya, the ladies tell their husbands about the new visitor who in turn decide to have an intervention for Jethalal.",17 mins,08-Jan-20,Jethalal,Karie,,Sony PAL,2020-09-15T14:00:05Z,519894,5469,99
232,Jethalal Is Angry,"Knowing that everyone has arranged an intervention for him for a wrong reason, Jethalal gets angry. Later, he talks to his wife and asks her to trust him. They make it up together and convey their love for each other.",19 mins,08-Jan-20,Jethalal,Karie,,Sony PAL,2020-09-15T14:30:06Z,10029611,78035,1100
233,Goli Sees Jethalal Getting A Haircut,"Jethalal finally decides to get a haircut and ends up at a street barber's shop. Goli sees Jetha on the road and demands to reveal it to others. Later,  he loses his purse and gets caught with the police. How did all this happen?",20 mins,08-Jan-20,"Jethalal, Goli",Karie,,Sony PAL,2020-09-16T14:00:01Z,4700113,35442,598
234,Karie Visits The Gadas,Jethalal's friend Karie decides to visit the Gada family. Daya gets excited to welcome her and decides to give her a grand welcome. Will Karie like the welcome?,21 mins,08-Jan-20,Gada Family,Karie,,Sony PAL,2020-09-16T14:30:00Z,2420499,24331,375
235,Karie Loves Gokuldham,Karie visits everyone at Gokuldham Society and loves the hospitality provided by the society members.,21 mins,08-Jan-20,Gokuldham Members,Karie,Gokuldham Society,Sony PAL,2020-09-17T14:00:07Z,3551056,30606,438
236,Navaratri At Gokuldham Society,It is the first day of Navaratri and everyone at Gokuldham is excited. The ladies have decided to go shopping for Navaratri outfits. Will Karie be included as well?,21 mins,08-Jan-20,Gokuldham Members,Karie,Gokuldham Society,Sony PAL,2020-09-17T14:30:00Z,2728618,24814,411
237,Popatlal Has Fallen In Love,"Navaratri is here and everyone at Gokuldham society is super excited to celebrate it together. Meanwhile, the ladies find out that Popatlal has a crush on Karie. Parallelly, Gada electronics comes up with a new Navaratri offer.",21 mins,08-Jan-20,Popatlal,Karie,Gokuldham Society,Sony PAL,2018-10-13T19:13:53Z,1291616,13783,162
238,Popatlal's Demand,The ladies go shopping for Dandiya costumes along with Sundar and Karie. They all are at Ahmedabad when Popatlal calls Daya. He demands for the same coloured and patterned dress as Karie's. Will he be satisfied?,21 mins,08-Jan-20,Popatlal,Karie,,Sony PAL,2020-09-18T13:30:01Z,277028,1857,38
239,Navaratri At Ahmedabad,"The ladies decide to stay back at Ahmedabad for one more day to celebrate Navaratri. They all dance and enjoy. Meanwhile, their husbands come all the way to Ahmedabad to bring them home.",21 mins,08-Jan-20,Gokuldham Members,Karie,,Sony PAL,2018-10-14T18:32:29Z,5510141,37795,434
240,Popatlal Stuck In Ahmedabad,"The members of the society return to Gokuldham Society return home from Ahmedabad. But, they realize that theyve left Popatlal behind on the way.",21 mins,08-Jan-20,Popatlal,Karie,Gokuldham Society,Sony PAL,2020-09-18T14:00:12Z,14197133,121501,2089
241,Jethalal Unhappy About Popatlal's Crush,"Hungover from the Navaratri celebrations, Jethalal wakes up to a shocking news. Daya informs him that she thinks Popatlal has a crush on Karie. Hearing this makes Jethalal furious. How will he react?",20 mins,08-Jan-20,"Jethalal, Popatlal",Karie,,Sony PAL,2020-09-19T13:30:08Z,6730537,61156,1114
242,Popatlal Gets A Makeover To Impress,"Popatlal seeks help from the ladies in the society, with regards to his love for Karie. So they have a conversation with Karie to figure out the way for making her fall in love with Popatlal. Hence they give a makeover to Popatlal, on the assumption that Karie will love him for his handsomeness.",21 mins,08-Jan-20,Popatlal,Karie,Gokuldham Society,Sony PAL,2020-09-19T14:00:04Z,3839214,30415,696
243,Popatlal's Disastrous Date With Kerry,"Popatlal and Kerry go to the park, he was struggling hard to keep up with his image in front of Kerry. But there were a lot of disturbances, and Kerry's handbag was snatched away by a petty thief. Popatlal tried to show his heroism but his efforts went in vain, though they got her bag back, Popatlal was beaten black and blue.",21 mins,08-Jan-20,Popatlal,Karie,,Sony PAL,2020-09-20T14:00:10Z,3103308,30173,679
244,Jethalal The Villain,"Jethalal, on his way to work, sees Popatlal being comforted by Karie. Later, Karie shares her happiness with Daya and does the Garba with her out of happiness.",FULL_HD121 mins,08-Jan-20,Jethalal,,,Sony PAL,2020-09-20T14:30:02Z,9059300,64102,849
245,Jethalal And Diwali Games,"Champaklal is talking to his friend on the phone and explaining to him how much times have changed. Later, he blesses his family members to live a long and a prosperous life.",20 mins,08-Jan-20,Jethalal,,,Sony PAL,2020-09-21T14:00:04Z,5571429,64458,1263
246,Ajay Devgan Visits The Gadas,Jethalal and Daya have a miscommunication and forget to bring him home from Gada electronics. Ajay Devgn runs into Champaklal and drops him home.,FULL_HD120 mins,08-Jan-20,"Jethalal, Daya",,,Sony PAL,2020-09-21T14:30:01Z,2261010,26350,539
247,Diwali With Gokuldham,"The members of Gokuldham are very excited to celebrate Diwali, the festival of lights. Watch this episode to see how Gokuldham society members celebrate Diwali.",21 mins,08-Jan-20,Gokuldham Members,,Gokuldham Society,Sony PAL,2020-09-22T14:00:00Z,7753665,70931,883
248,Jethalal Gets A Mobile For Babita,Babita is looking for a new phone to gift her brother. She approaches Jetha for the phone. Will Jetha be able to get the phone or not?,21 mins,08-Jan-20,"Jethalal, Babita",,,Sony PAL,2020-09-22T14:30:06Z,1547098,16099,299
249,Sundar Takes The Red Cherry Phone Away,"Champaklal, while trying to look for his spectacles packs the phone in Sundar's bag. How will Iyer receive the new Red Cherry Phone?",21 mins,08-Jan-20,Sundar,,,Sony PAL,2020-09-23T14:00:02Z,4044168,39098,604
250,Jetha In Trouble,"Jethalal tries to contact Sundar with Taarak's help. Meanwhile, Iyer asks Jethalal about the phone which leads Jethalal to explode.",21 mins,08-Jan-20,Jethalal,Sundar,,Sony SAB,2020-02-05T10:29:07Z,9525695,100065,1772
251,Daya Vs Jetha,"Daya is stern on to make Jetha believe that no matter what, Sundar can never steal the phone as he claims he has! Both of them get into a verbal fight. Watch to find out whether Sundar really stole a phone or no! Stay tuned!",21 mins,30-Jun-20,"Jethalal, Daya",Sundar,,Sony SAB,2013-10-21T06:24:20Z,14235538,111736,0
252,Jethalal And Daya At War,"Sundar returns from Bangalore but forgets his bags in the taxi. Meanwhile, Daya and Jetha continue to fight. Will they make up for themselves?",FULL_HD121 mins,08-Jan-20,"Jethalal, Daya",Sundar,,Sony SAB,2013-10-21T06:23:48Z,52972133,336901,2
253,Daya Leaves Jethalal,"After falsely accusing Daya's brother, Jethalal feels guilty about it. But, Daya decides to keep her word and leaves Jethalal with her brother. Will she come back?",21 mins,08-Jan-20,"Jethalal, Daya",Sundar,,Sony SAB,2013-10-21T06:31:21Z,20172627,138908,0
254,Jethalal Seeks For Taarak's Help,"Not being sure whether Sundar has the mobile phone, Jetha seeks Taarak's help. Taarak comes up with a backup plan to help his friend out before Babita asks again.",20 mins,08-Jan-20,"Jethalal, Mehta",Sundar,,Sony SAB,2013-10-21T06:35:04Z,38565415,310709,1
255,Too Many Mobile Phones,"To save their relationships with one another, Sundar and Jethalal buy a new red cherry mobile each and hide them. Will they get into a bigger mess?",21 mins,08-Jan-20,Jethalal,Sundar,,Sony SAB,2013-10-21T06:35:01Z,35805510,323527,1
256,Champaklal Solves The Problem,"Jethalal finds the phone in Sundar's bag. Daya decides to leave the house but, Champaklal steps in and solves the chaos. Watch this episode to know more.",21 mins,08-Jan-20,Champaklal,Sundar,,Sony SAB,2013-10-21T06:28:15Z,37967860,182636,0
257,Tappu Wins A Prize At The Camp,"The kids return from the camp and narrate their stories to Champaklal. Later, Tapu says that he won the Best Boy prize in the camp.",21 mins,08-Jan-20,Tapu,,,Sony SAB,2020-08-17T14:30:00Z,10971533,101994,1532
258,Taarak's Mind Block,"Taarak Mehta is having a mind block and is finding new ways to write a new article. Later, Tapu creates a problem to drink milk while Jetha is on a business call. Will Jetha scold him?",21 mins,08-Jan-20,Mehta,,,Sony SAB,2013-10-21T06:47:57Z,7435058,56586,0
259,Tappu Sena's TV Ad,Rita visits Gokuldham Society and asks the parents if Tapu Sena can audition for a TV advertisement. How will the parents react?,22 mins,08-Jan-20,Tapu Sena,Rita Reporter,Gokuldham Society,Sony SAB,2013-10-21T06:25:53Z,35932614,192296,0
260,Audition Day,"Tapu Sena is excited about their auditions but, their parents are more excited about their auditions. Will the kids get through the auditions?",20 mins,08-Jan-20,Tapu Sena,Rita Reporter,,Sony SAB,2013-10-21T06:29:05Z,24691158,141764,0
261,Daya Admires Sodhi,"After the auditions, the members of Gokuldham society return home. Daya observes Sodhi's excitement about the audition and love for his son and admires his fatherhood.",21 mins,08-Jan-20,"Daya, Sodhi",Rita Reporter,Gokuldham Society,Sony SAB,2020-08-18T14:30:00Z,10224547,100665,1858
262,Roshan Singh Sodhi Is Disappointed,"Roshan Sodhi learns that all the kids have got selected for the ad shoot except for Gogi. He makes a scene about this issue and makes sure everyone knows that he is disappointed. Later, rest of the kids go for the shoot and become famous.",22 mins,08-Jan-20,"Sodhi, Roshan",,,Sony SAB,2013-10-21T06:33:29Z,17389256,110538,0
263,Gogi Sodhi Is Angry,"While the other kids from the Tapu Sena are at the ad shoot, Gogi is angry and throwing tantrums at his parents for not being selected. His parents, Mr. and Mrs. Roshan are trying their best to convince him. What will happen next?",20 mins,08-Jan-20,"Sodhi, Gogi",,,Sony SAB,2020-08-19T14:30:01Z,6605284,64679,963
264,Daya Is Excited For Tappu,"Daya is very excited about her son's ad coming on TV. She is calling everyone she knows and informing them to watch the ad without fail. Later, she comes up with a brilliant plan to watch the ad together with the society members.",21 mins,08-Jan-20,"Daya, Tapu",,Gokuldham Society,Sony SAB,2020-08-20T16:55:14Z,8219352,96334,1648
265,"Lights, Camera, Power Off!","Gokuldham society gathers to watch the ad in which their children have acted. But, just before the ad gets telecasted, the power goes off at Gokuldham society. How will the society members watch the ad now?",22 mins,08-Jan-20,Gokuldham Members,,Gokuldham Society,Sony SAB,2013-10-21T06:23:11Z,9768615,74189,0
266,Tappu Sena Is Famous,"After Tapu Sena acts in an advertisement, people start recognizing them and take autographs. Gogi feels bad for not being a part of this and threatens to run away if he doesn't become famous.",23 mins,08-Jan-20,Tapu Sena,,,Sony SAB,2013-10-21T06:24:53Z,30582338,156160,0
267,Tappu Has A Plan To Make Gogi Feel Special,"Gogi forces Tapu to make him famous. Tapu soon comes up with a mysterious, secret plan to make Gogi appear on TV. But, clearly warns Tapu Sena to not tell this to anyone. Will Gogi become famous?",19 mins,08-Jan-20,"Tapu, Gogi",,,Sony SAB,2013-10-21T06:26:26Z,36621193,211520,0
